imageurl,genre,imdbid,title,imdbrating,released,synopsis,type
"https://m.media-amazon.com/images/M/MV5BM2VhNWU2NWUtOGQ5Ni00OTNmLWFiZWItYzlhYzAzNjZlMzY3XkEyXkFqcGdeQXVyODQ1NDg4NjQ@._V1_UY268_CR43,0,182,268_AL_.jpg",Action,tt10937188,Justice League Extinction,7.4,2020,"A year has passed since the mother boxes were destroyed. Unaware to the Justice League, the boxes have released a power surge that has attracted the attention of their creator, Brainiac.",movie
"https://m.media-amazon.com/images/M/MV5BNjY0MWZiNDQtMDk3My00MTZmLWI2ZGEtYWUxOTgyMzNjNTYwXkEyXkFqcGdeQXVyMTA0MjU4MDQ0._V1_UY268_CR16,0,182,268_AL_.jpg",Action,tt10919858,It's About Choices,6.8,2020,"On the run from his corrupt employers an ex Special forces officer has been hiding out driving a cab for 4 years ,when suddenly he is visited by someone from his past . Doing the right thing and survival are the only choices he has.",movie
"https://m.media-amazon.com/images/M/MV5BZWY2MDEzNjYtOWVlMC00MGYzLWFhNjUtMTAzZTQ4MmQ3N2U4XkEyXkFqcGdeQXVyOTMwNjU3NDc@._V1_UX182_CR0,0,182,268_AL_.jpg","Action, Adventure, Animation",tt10841384,The Forevers,7.1,2020,A group of brave superheroes has to come together to save the multiverse from evil terrorist birds.,movie
,"Action, Drama, Thriller",tt10558706,Commandos: The Mission,6.5,2020,"Six Dutch Commandos, commanded by John de Koning and stationed in Mali, are sent to Nigeria under American orders to free the son of a wealthy Nigerian oil family from Boko Haram rebels. ...",movie
"https://m.media-amazon.com/images/M/MV5BYThmODBlYjItOGRjYi00OWExLTg4MTEtMTAyOGU2MTFiOWE0XkEyXkFqcGdeQXVyNTM5ODc4MzE@._V1_UX182_CR0,0,182,268_AL_.jpg","Action, Western",tt10398376,Gunfight at Silver Creek,7.2,2020,,movie
"https://m.media-amazon.com/images/M/MV5BZjQzNmQwZjMtMzU3OS00MDgzLTllM2YtMmQzZmViYmY0NWQ3XkEyXkFqcGdeQXVyNzk5OTM5ODg@._V1_UY268_CR12,0,182,268_AL_.jpg","Action, Animation",tt10152746,Justice League: Invasion,6.7,2020,"A nightmare has arrived, the Invasion is here. Darkseid of Apokolips has set to Earth after a Mother Box is opened. Earth's heroes are soon to bring justice against Darkseid's inevitable strength.",movie
"https://m.media-amazon.com/images/M/MV5BZTI0ZGIxZTEtMWQxMi00MDVhLWFmNWQtNmU5ZWNhYjJmYjJkXkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_UX182_CR0,0,182,268_AL_.jpg","Action, Thriller",tt10059518,Unhinged,6.0,2020,"After a confrontation with an unstable man at an intersection, a woman becomes the target of his rage.",movie
"https://m.media-amazon.com/images/M/MV5BMTc0MTczODUyOF5BMl5BanBnXkFtZTcwMzUzOTM2OQ@@._V1_UY268_CR6,0,182,268_AL_.jpg","Action, Drama, Sport",tt0849437,Duel of Legends,6.0,2020,"1967 China, A young boy (Dax) is left to survive on his own in the middle of no were, after his missionary parents were murdered by rebels. He is found and Raised by a Shawling Temple Monk ...",movie
"https://m.media-amazon.com/images/M/MV5BNGViNmMyMTQtZDVkYy00M2UwLTg3MmItYjVlYzVjYTJiMjdlXkEyXkFqcGdeQXVyMjMyMjQwNzM@._V1_UY268_CR123,0,182,268_AL_.jpg","Action, Crime, Mystery",tt12379096,The Gents,6.8,2020,"An aging mobster hosts a underground fight club for the city's most dangerous criminals. However, one of the fighters may have personal motive for participating in the bloody affair.",movie
,"Action, Crime, Sci-Fi",tt7550000,Project Power,6.0,2020,"When a pill that gives its users unpredictable superpowers for five minutes hits the streets of New Orleans, a teenage dealer and a local cop must team with an ex-soldier to take down the group responsible for its creation.",movie
